Titulo,Precio,Precio Oferta,Editorial,Descuento,Formato,Autor,URL Libro,Idioma,Pagínas,ISBN,Origen,Encuadernación,Año,Dimen Largo,Dimen Ancho,Genero,Total Reviews,Valoración,Estado,Unidades,Imagen URL
Mafalda 1,12000,10200,Lumen,0.15,Libro Físico,Quino,https://www.buscalibre.cl/libro-mafalda-1/9788426445018/p/2912657,Español,96,9788426445018,Chile,Tapa Blanda,2007,,,"Bandes dessinées: cómic, historietas europeas; Colecciones y antologías de humor",1,5.0,Libro Nuevo,31,https://images.cdn1.buscalibre.com/fit-in/360x360/39/31/3931c08de638085942a1a47684441a88.jpg
El Sutil Arte de que (Casi Todo) te Importe una Mierda,24900,21170,Harpercollins Iberica,0.15,Libro Físico,Mark Manson,https://www.buscalibre.cl/libro-el-sutil-arte-de-que-casi-todo-te-importe-una-mierda/9788491392286/p/50037710,Español,240,9788491392286,Chile,Tapa Blanda,2018,14.00,21.50,Autoayuda y desarrollo personal,21,4.0,Libro Nuevo,22,https://images.cdn1.buscalibre.com/fit-in/360x360/87/7c/877cdd531f73784fddad053096dfb402.jpg
Civilizaciones,23500,10580,Seix Barral,0.55,Libro Físico,Laurent Binet,https://www.buscalibre.cl/libro-civilizaciones/9789569949746/p/52995090,Español,448,9789569949746,Chile,Tapa Blanda,2020,,,Ficción moderna y contemporánea,2,5.0,Libro Nuevo,5,https://images.cdn3.buscalibre.com/fit-in/360x360/7a/ec/7aec67c899125452ac2bcb3d529c8eb1.jpg
El Sindrome de la Impostora,22881,14870,Planeta,0.35,Libro Físico,Elisabeth Cadoche,https://www.buscalibre.cl/libro-el-sindrome-de-la-impostora/9786287650244/p/55005014,Español,336,9786287650244,Chile,Tapa Blanda,2019,,,"Motivación, autoestima y actitud positiva",4,4.5,Libro Nuevo,4,https://images.cdn2.buscalibre.com/fit-in/360x360/ff/6e/ff6ec2b030cfcacc87049a259af07cb6.jpg
Venganza Para Víctimas,21900,19710,Editorial Planeta Chilena S.A.,0.10,Libro Físico,Jackson Holly,https://www.buscalibre.cl/libro-venganza-para-victimas/9789566145905/p/62994411,Español,512,9789566145905,Chile,Tapa Blanda,2024,14.00,0.00,Novela negra para jóvenes,1,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/97/c9/97c9d92942dde2f6407c44ee72ede714.jpg
BACH. El músico de Dios,16700,14200,CATALONIA,0.15,Libro Físico,Elizabeth Subercaseaux,https://www.buscalibre.cl/libro-bach-el-musico-de-dios/9789564150994/p/62054431,Español,176,9789564150994,Chile,Tapa Blanda,2024,23.00,0.00,Autobiografías de artistas,1,5.0,Libro Nuevo,46,https://images.cdn3.buscalibre.com/fit-in/360x360/21/cb/21cb9a79b545b24d6bc016ff83aa8127.jpg
"Sewell: Luces, sombras y abandono",14500,12330,Editorial Forja,0.15,Libro Físico,María eugenia lorenzini,https://www.buscalibre.cl/libro-sewell-luces-sombras-y-abandono/9789563381160/p/37670664,Español,256,9789563381160,Chile,Tapa Blanda,2015,,,"Ficción histórica; Ficción literaria; Ficción, novelistas y prosistas; Novelas históricas alternativas",0,0.0,Libro Nuevo,9,https://image.cdn1.buscalibre.com/60e394908463b5f3158b52eb.__RS360x360__.jpg
Alienígenas Americanos,16900,14370,Editorial Planeta,0.15,Libro Físico,Francisco Ortega,https://www.buscalibre.cl/libro-alienigenas-americanos/9789564080277/p/53685061,Bilingüe,236,9789564080277,Chile,Tapa Blanda,2021,15.00,23.00,"Folclore, mitos y leyendas; Investigación e información general",17,5.0,Libro Nuevo,16,https://images.cdn3.buscalibre.com/fit-in/360x360/55/d5/55d5d34ce43e8c694f4c7cb113bff505.jpg
Riqueza que el Dinero no Puede Comprar,19000,14130,Penguin Random House Grupo Editorial,0.26,Libro Físico,Robin Sharma,https://www.buscalibre.cl/libro-riqueza-que-el-dinero-no-puede-comprar/9789562586573/p/56100621,Español,328,9789562586573,Chile,Tapa Blanda,2024,14.00,21.00,Autoayuda y desarrollo personal,1,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/a6/00/a6007bad306ea8ce76f2c382da2d6194.jpg
Sergio Larrain: Valparaíso (en Inglés),93790,56270,Thames & Hudson,0.40,Libro Físico,Sergio Larrain,https://www.buscalibre.cl/libro-sergio-larrain-valparaiso/9780500544808/p/49467675,Inglés,210,9780500544808,Chile,Tapa Dura,2017,,,"Fotografía, Arte",1,5.0,Libro Nuevo,2,https://images.cdn2.buscalibre.com/fit-in/360x360/5c/c7/5cc7cdfe965f2f33510cf562be03900e.jpg
